,Zone,PIB_HAB_euros,Exportations - Valeur,Importations - Valeur,cluster,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
41,Ouganda,568.30536331,77.0,1719.0,1,2126.0,52.63999999999999,23.51823708206687,12.052778349598151
42,Djibouti,1890.8898581599997,,0.0,1,2609.0,65.62,22.965559280707097,8.960364909382713
43,Côte d'Ivoire,1181.59003018,5.0,1595.0,1,2797.0,58.45000000000001,23.404619332763037,18.96041481928244
44,Îles Salomon,1526.416812,,,1,2383.0,56.31,30.989167110637545,14.07000307877529
45,Burkina Faso,653.41300223,117.0,759.0,1,2717.0,79.37000000000002,13.959934484061984,14.259528887627884
46,Bangladesh,808.5806390299999,0.0,10232.0,1,2453.0,55.86,17.7765843179377,2.963071969469101
47,Bolivie (État plurinational de),2446.7889732599997,0.0,6314.0,1,2250.0,65.96,45.118253486961805,6.008398379937466
48,Bénin,755.85543683,0.0,82.0,1,2619.0,64.37999999999998,22.13420316868593,10.117888969341344
49,Angola,4364.47905002,0.0,688.0,1,2474.0,57.26999999999997,32.12851405622492,30.307859642132545
50,Botswana,5810.83819957,1.0,2934.0,1,2325.0,64.85000000000002,40.75558982266768,10.339883268827737
51,Cameroun,1239.81110892,0.0,3660.0,1,2669.0,69.96,16.709548313321896,11.747444615810897
52,Congo,3110.3080812199996,,47.0,1,2206.0,51.41,43.260066134993195,15.185058841318835
53,Nicaragua,1533.17660258,0.0,3791.0,2,2638.0,69.53999999999998,30.50043140638482,5.962430444291942
54,Maurice,8020.152132019999,445.0,755.0,2,3067.0,88.2,45.124716553287975,1.829646026428659
55,Belize,3808.79019467,0.0,403.0,2,2746.0,73.2,39.549180327868854,13.331993285839964
56,Pérou,5462.84273422,4781.0,13524.0,2,2697.0,74.91999999999999,36.09183128670582,5.043130100539994
57,Polynésie française,18297.920451529997,,509.0,2,2923.0,97.27,65.59062403618793,0.24452695378476585
58,Philippines,2291.04081039,341.0,6436.0,2,2568.0,59.90999999999999,41.47888499415791,7.742415443721251
59,Paraguay,4953.1552419399995,0.0,10342.0,2,2584.0,70.58,48.413148200623404,2.2148438499577203
60,Panama,9860.19791907,95.0,4205.0,2,2731.0,79.32000000000001,52.49621785173978,7.490515024531523
61,Bermudes,74673.95305288,,,2,2668.0,90.36,66.71093404161134,-3.5757537127924026
62,Ouzbékistan,1907.6669577499997,0.0,5131.0,2,2759.0,83.41,34.99580386044839,10.907184956486963
63,Mauritanie,1425.84388434,,2.0,2,2875.0,84.94,39.87520602778433,11.657427032781907
64,Bosnie-Herzégovine,4185.481571230001,2377.0,1840.0,2,3156.0,91.5,33.22404371584699,-15.195138277789061
65,Mexique,8632.47305352,0.0,25806.0,2,3068.0,87.57999999999998,46.42612468600137,3.0578999158005096
66,Nouvelle-Calédonie,32163.447461599997,11.0,37.0,2,2855.0,86.61000000000003,60.39718277335179,8.569142799998572
67,Mongolie,3639.85676883,,237.0,2,2509.0,80.80000000000001,60.04950495049505,10.447742362034637
68,Bulgarie,6350.25617067,8829.0,6093.0,2,2828.0,83.41000000000003,49.51444670902769,-2.4305378291022417
69,Myanmar,1002.48037689,,900.0,2,2574.0,82.61,40.83040794092725,0.8365929152131364
70,République de Moldova,1935.7429718399999,0.0,2357.0,2,2715.0,71.35999999999999,49.38340807174889,13.942542147670354
71,Brunéi Darussalam,37016.402820209994,0.0,893.0,2,2985.0,93.29,56.769214278057675,2.5556982770075742
72,Bahamas,23239.95599589,,821.0,2,2670.0,86.15999999999998,65.50603528319408,2.23967098592718
73,Équateur,5041.4953880699995,0.0,11476.0,2,2346.0,61.3,59.54323001631322,7.880647314929832
74,Afrique du Sud,5659.847488799999,10267.0,8287.0,2,3020.0,85.32999999999998,42.646197117074905,8.680220508820883
75,Viet Nam,1553.2001600199999,,6934.0,2,2744.0,81.61,38.046807989217,4.04618041315027
76,Venezuela (République bolivarienne du),10165.98562682,0.0,6707.0,2,2633.0,72.96000000000002,52.26151315789473,-5.254529025706199
77,Vanuatu,2628.89473648,,88.0,2,2833.0,69.69000000000003,41.94288994116802,13.557468908022413
78,Uruguay,14011.39847091,0.0,2134.0,2,3052.0,92.33,58.475035199826685,1.2259062385392916
79,Ukraine,3372.3766860299997,329.0,64663.0,2,3138.0,88.63000000000001,48.6855466546316,-2.2439101828416463
80,Turkménistan,6062.66903575,,,2,2836.0,90.49999999999999,41.93370165745857,10.44114402209164
81,Trinité-et-Tobago,16786.771629799998,0.0,958.0,2,3049.0,83.33,51.7220688827553,3.5142818289547817
82,Thaïlande,5119.7721162,1525.0,22555.0,2,2785.0,60.85,40.870994248151185,3.481934128648956
83,Antigua-et-Barbuda,10024.14502529,3.0,36.0,2,2416.0,83.49,68.06803209965265,6.528467274577821
84,Suriname,7872.0352921,0.0,260.0,2,2752.0,62.85999999999999,45.17976455615655,6.421986492821056
85,Arménie,3190.18032333,94.0,4397.0,2,2924.0,90.05999999999999,48.01243615367533,-0.8555955883723019
86,Slovaquie,15103.946566719998,49635.0,32241.0,2,2943.0,72.11,48.4676189155457,0.05527218525387979
